"V1" "V2"
"1" -4.03585179766874 8.95778000994891
"2" 8.20350691125941 3.71967354448859
"3" 9.39503579689183 5.5299731726775
"4" 3.4512344142233 5.73951515447531
"5" 2.5398499933732 3.63908583079538
"6" -4.47694149483336 5.96720647646903
"7" -2.04405951152706 4.58682419242383
"8" 5.43378078618495 4.58952717034798
"9" 4.30940571847868 8.35932469476862
"10" 10.48849438678423 8.09011895822654
"11" 3.08257120566614 7.05835797534323
"12" -2.61982550075867 8.37891351416567
"13" 10.56078605266678 4.25180974939865
"14" 11.90881746919788 6.61756226210747
"15" 0.32266621118263 6.76185753840596
"16" -0.814153389693499 7.65006184943365
"17" 6.27407458314074 6.15353601935491
