"Name","Position","Compensation"
"Frank S. Hermance	Chairman","Chief Executive Officer and Chairman of Executive Committee in Ametek Inc.","$1.7M"
"Jen-Hsun Huang	Co-Founder","Chief Executive Officer, President, Director and Member of Compensation Committee in NVIDIA Corporation","$998.4K"
"Moshe N. Gavrielov","Chief Executive Officer, President and Director in Xilinx Inc.","$787.5K"
"Carlo Bozotti","Chairman of Management Board, Chief Executive Officer, President and Chairman of Corporate Strategic Committee in STMicroelectronics NV","$1.8M"
